2023-11-07T13:07:22.185328-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: Linux raspberrypi 6.1.0-rpi4-rpi-v8 #1 SMP PREEMPT Debian 1:6.1.54-1+rpt2 (2023-10-05) aarch64 GNU/Linux
2023-11-07T13:07:22.196298-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10067, nsec=10067500, sec=0.010067500
2023-11-07T13:07:22.206767-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10057, nsec=10057343, sec=0.010057343
2023-11-07T13:07:22.217236-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10066, nsec=10066823, sec=0.010066823
2023-11-07T13:07:22.227832-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10064, nsec=10064062, sec=0.010064062
2023-11-07T13:07:22.238328-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10066, nsec=10066354, sec=0.010066354
2023-11-07T13:07:22.248734-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10058, nsec=10058021, sec=0.010058021
2023-11-07T13:07:22.259199-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10055, nsec=10055313, sec=0.010055313
2023-11-07T13:07:22.269667-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10065, nsec=10065365, sec=0.010065365
2023-11-07T13:07:22.280110-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10054, nsec=10054844, sec=0.010054844
2023-11-07T13:07:22.290601-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10056, nsec=10056250, sec=0.010056250
2023-11-07T13:07:22.301018-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10054, nsec=10054063, sec=0.010054063
2023-11-07T13:07:22.311391-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10056, nsec=10056406, sec=0.010056406
2023-11-07T13:07:22.321826-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10060, nsec=10060417, sec=0.010060417
2023-11-07T13:07:22.332234-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10051, nsec=10051094, sec=0.010051094
2023-11-07T13:07:22.342725-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10059, nsec=10059584, sec=0.010059584
2023-11-07T13:07:22.353198-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10056, nsec=10056875, sec=0.010056875
2023-11-07T13:07:22.363789-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10068, nsec=10068959, sec=0.010068959
2023-11-07T13:07:22.374328-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10069, nsec=10069011, sec=0.010069011
2023-11-07T13:07:22.384850-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10073, nsec=10073958, sec=0.010073958
2023-11-07T13:07:22.395422-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10068, nsec=10068073, sec=0.010068073
2023-11-07T13:07:22.406172-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10062, nsec=10062292, sec=0.010062292
2023-11-07T13:07:22.416397-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10057, nsec=10057708, sec=0.010057708
2023-11-07T13:07:22.426949-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10072, nsec=10072396, sec=0.010072396
2023-11-07T13:07:22.437773-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10073, nsec=10073021, sec=0.010073021
2023-11-07T13:07:22.448051-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10073, nsec=10073750, sec=0.010073750
2023-11-07T13:07:22.458600-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10080, nsec=10080052, sec=0.010080052
2023-11-07T13:07:22.469076-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10069, nsec=10069062, sec=0.010069062
2023-11-07T13:07:22.479711-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10071, nsec=10071875, sec=0.010071875
2023-11-07T13:07:22.490291-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10063, nsec=10063333, sec=0.010063333
2023-11-07T13:07:22.500796-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10065, nsec=10065937, sec=0.010065937
2023-11-07T13:07:22.511358-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10070, nsec=10070469, sec=0.010070469
2023-11-07T13:07:22.521863-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10077, nsec=10077032, sec=0.010077032
2023-11-07T13:07:22.532434-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10063, nsec=10063229, sec=0.010063229
2023-11-07T13:07:22.542941-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10059, nsec=10059896, sec=0.010059896
2023-11-07T13:07:22.553385-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10052, nsec=10052969, sec=0.010052969
2023-11-07T13:07:22.563853-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10063, nsec=10063386, sec=0.010063386
2023-11-07T13:07:22.574330-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10058, nsec=10058542, sec=0.010058542
2023-11-07T13:07:22.584767-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10052, nsec=10052604, sec=0.010052604
2023-11-07T13:07:22.595410-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10084, nsec=10084166, sec=0.010084166
2023-11-07T13:07:22.605813-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10054, nsec=10054323, sec=0.010054323
2023-11-07T13:07:22.616289-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10055, nsec=10055416, sec=0.010055416
2023-11-07T13:07:22.626742-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10063, nsec=10063542, sec=0.010063542
2023-11-07T13:07:22.637201-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10064, nsec=10064010, sec=0.010064010
2023-11-07T13:07:22.647743-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10062, nsec=10062656, sec=0.010062656
2023-11-07T13:07:22.658301-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10073, nsec=10073073, sec=0.010073073
2023-11-07T13:07:22.668767-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10059, nsec=10059375, sec=0.010059375
2023-11-07T13:07:22.679312-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10086, nsec=10086614, sec=0.010086614
2023-11-07T13:07:22.690046-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10119, nsec=10119687, sec=0.010119687
2023-11-07T13:07:22.700288-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10057, nsec=10057344, sec=0.010057344
2023-11-07T13:07:22.710785-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10065, nsec=10065157, sec=0.010065157
2023-11-07T13:07:22.721282-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10065, nsec=10065625, sec=0.010065625
2023-11-07T13:07:22.731902-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10112, nsec=10112708, sec=0.010112708
2023-11-07T13:07:22.742500-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10068, nsec=10068906, sec=0.010068906
2023-11-07T13:07:22.753049-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10077, nsec=10077917, sec=0.010077917
2023-11-07T13:07:22.763678-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10067, nsec=10067552, sec=0.010067552
2023-11-07T13:07:22.774237-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10071, nsec=10071823, sec=0.010071823
2023-11-07T13:07:22.784823-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10078, nsec=10078177, sec=0.010078177
2023-11-07T13:07:22.795488-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10070, nsec=10070729, sec=0.010070729
2023-11-07T13:07:22.806098-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10070, nsec=10070052, sec=0.010070052
2023-11-07T13:07:22.816638-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10064, nsec=10064271, sec=0.010064271
2023-11-07T13:07:22.827177-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10070, nsec=10070782, sec=0.010070782
2023-11-07T13:07:22.837832-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10094, nsec=10094427, sec=0.010094427
2023-11-07T13:07:22.848336-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10055, nsec=10055573, sec=0.010055573
2023-11-07T13:07:22.858735-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10060, nsec=10060104, sec=0.010060104
2023-11-07T13:07:22.869235-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10064, nsec=10064791, sec=0.010064791
2023-11-07T13:07:22.879724-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10103, nsec=10103698, sec=0.010103698
2023-11-07T13:07:22.890196-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10057, nsec=10057709, sec=0.010057709
2023-11-07T13:07:22.900708-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10053, nsec=10053750, sec=0.010053750
2023-11-07T13:07:22.911206-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10076, nsec=10076198, sec=0.010076198
2023-11-07T13:07:22.921700-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10061, nsec=10061666, sec=0.010061666
2023-11-07T13:07:22.932245-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10054, nsec=10054636, sec=0.010054636
2023-11-07T13:07:22.942945-06:00 raspberrypi pthread[25165]: [COURSE:1][ASSIGNMENT:99]: MY_CLOCK clock DT seconds = 0, msec=10, usec=10061, nsec=10061822, sec=0.010061822
