2023-11-07T13:03:39.713626-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Linux raspberrypi 6.1.0-rpi4-rpi-v8 #1 SMP PREEMPT Debian 1:6.1.54-1+rpt2 (2023-10-05) aarch64 GNU/Linux
2023-11-07T13:03:40.673951-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=0, sum[0...0]=0, running on CPU=3, start=1699383819.728238, stop=1699383819.731156
2023-11-07T13:03:40.674955-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=1, sum[0...1]=1, running on CPU=3, start=1699383819.731650, stop=1699383819.738227
2023-11-07T13:03:40.675732-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=2, sum[0...2]=3, running on CPU=3, start=1699383819.738652, stop=1699383819.746846
2023-11-07T13:03:40.676352-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=3, sum[0...3]=6, running on CPU=3, start=1699383819.747334, stop=1699383819.757581
2023-11-07T13:03:40.676924-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=4, sum[0...4]=10, running on CPU=3, start=1699383819.758003, stop=1699383819.769592
2023-11-07T13:03:40.677503-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=5, sum[0...5]=15, running on CPU=3, start=1699383819.770018, stop=1699383819.783825
2023-11-07T13:03:40.678085-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=6, sum[0...6]=21, running on CPU=3, start=1699383819.784247, stop=1699383819.799463
2023-11-07T13:03:40.678711-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=7, sum[0...7]=28, running on CPU=3, start=1699383819.799885, stop=1699383819.817262
2023-11-07T13:03:40.679325-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=8, sum[0...8]=36, running on CPU=3, start=1699383819.817676, stop=1699383819.836493
2023-11-07T13:03:40.680026-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=9, sum[0...9]=45, running on CPU=3, start=1699383819.836908, stop=1699383819.851376
2023-11-07T13:03:40.680624-06:00 raspberrypi pthread[25016]: [COURSE:1][ASSIGNMENT:99]: Thread idx=10, sum[0...10]=55, running on CPU=3, start=1699383819.851788, stop=1699383819.867735
